location,target_type,weights,model,forecast_date
DE,Deaths,0,semi_ensemble,2021-07-12
FR,Cases,0.513623878925229,semi_ensemble,2021-07-12
FR,Deaths,0.717741935483871,semi_ensemble,2021-07-12
GB,Cases,0.972133845309929,semi_ensemble,2021-07-12
GB,Deaths,0,semi_ensemble,2021-07-12
PL,Cases,0.544624033731553,semi_ensemble,2021-07-12
PL,Deaths,0.273972602739726,semi_ensemble,2021-07-12
CZ,Cases,0.197953561589925,stat_ensemble,2021-07-12
CZ,Deaths,0.0332294911734164,stat_ensemble,2021-07-12
DE,Cases,0.146029470424916,stat_ensemble,2021-07-12
DE,Deaths,0.208494208494208,stat_ensemble,2021-07-12
FR,Cases,0.153453158965885,stat_ensemble,2021-07-12
FR,Deaths,0,stat_ensemble,2021-07-12
GB,Cases,0,stat_ensemble,2021-07-12
GB,Deaths,0.245283018867924,stat_ensemble,2021-07-12
PL,Cases,0,stat_ensemble,2021-07-12
PL,Deaths,0,stat_ensemble,2021-07-12
CZ,Cases,0.633796503809951,mech_ensemble,2021-07-19
CZ,Deaths,0.6875,mech_ensemble,2021-07-19
DE,Cases,0.766947275143997,mech_ensemble,2021-07-19
DE,Deaths,0.870879120879121,mech_ensemble,2021-07-19
FR,Cases,0.512686622048981,mech_ensemble,2021-07-19
FR,Deaths,0.473988439306358,mech_ensemble,2021-07-19
GB,Cases,0.0279359380697278,mech_ensemble,2021-07-19
GB,Deaths,0.983471074380165,mech_ensemble,2021-07-19
PL,Cases,1,mech_ensemble,2021-07-19
PL,Deaths,0.641025641025641,mech_ensemble,2021-07-19
CZ,Cases,0,semi_ensemble,2021-07-19
CZ,Deaths,0,semi_ensemble,2021-07-19
DE,Cases,0,semi_ensemble,2021-07-19
DE,Deaths,0,semi_ensemble,2021-07-19
FR,Cases,0,semi_ensemble,2021-07-19
FR,Deaths,0.526011560693642,semi_ensemble,2021-07-19
GB,Cases,0.972064061930272,semi_ensemble,2021-07-19
GB,Deaths,0,semi_ensemble,2021-07-19
PL,Cases,0,semi_ensemble,2021-07-19
PL,Deaths,0.358974358974359,semi_ensemble,2021-07-19
CZ,Cases,0.366203496190049,stat_ensemble,2021-07-19
CZ,Deaths,0.3125,stat_ensemble,2021-07-19
DE,Cases,0.233052724856003,stat_ensemble,2021-07-19
DE,Deaths,0.129120879120879,stat_ensemble,2021-07-19
FR,Cases,0.487313377951019,stat_ensemble,2021-07-19
FR,Deaths,0,stat_ensemble,2021-07-19
GB,Cases,0,stat_ensemble,2021-07-19
GB,Deaths,0.0165289256198347,stat_ensemble,2021-07-19
PL,Cases,0,stat_ensemble,2021-07-19
PL,Deaths,0,stat_ensemble,2021-07-19
CZ,Cases,0.778390717139053,mech_ensemble,2021-07-26
CZ,Deaths,0.519650655021835,mech_ensemble,2021-07-26
DE,Cases,0.435165854790072,mech_ensemble,2021-07-26
DE,Deaths,0.774809160305344,mech_ensemble,2021-07-26
FR,Cases,0,mech_ensemble,2021-07-26
FR,Deaths,1,mech_ensemble,2021-07-26
GB,Cases,0.85755190386986,mech_ensemble,2021-07-26
GB,Deaths,1,mech_ensemble,2021-07-26
PL,Cases,0.964593837535014,mech_ensemble,2021-07-26
PL,Deaths,0.421052631578947,mech_ensemble,2021-07-26
CZ,Cases,0,semi_ensemble,2021-07-26
CZ,Deaths,0.349344978165939,semi_ensemble,2021-07-26
DE,Cases,0,semi_ensemble,2021-07-26
DE,Deaths,0,semi_ensemble,2021-07-26
FR,Cases,0.290108938318064,semi_ensemble,2021-07-26
FR,Deaths,0,semi_ensemble,2021-07-26
GB,Cases,0.14244809613014,semi_ensemble,2021-07-26
GB,Deaths,0,semi_ensemble,2021-07-26
PL,Cases,0,semi_ensemble,2021-07-26
PL,Deaths,0.578947368421053,semi_ensemble,2021-07-26
CZ,Cases,0.221609282860947,stat_ensemble,2021-07-26
CZ,Deaths,0.131004366812227,stat_ensemble,2021-07-26
DE,Cases,0.564834145209928,stat_ensemble,2021-07-26
DE,Deaths,0.225190839694656,stat_ensemble,2021-07-26
FR,Cases,0.709891061681936,stat_ensemble,2021-07-26
FR,Deaths,0,stat_ensemble,2021-07-26
GB,Cases,0,stat_ensemble,2021-07-26
GB,Deaths,0,stat_ensemble,2021-07-26
PL,Cases,0.035406162464986,stat_ensemble,2021-07-26
PL,Deaths,0,stat_ensemble,2021-07-26
CZ,Cases,0,mech_ensemble,2021-08-02
CZ,Deaths,0.730769230769231,mech_ensemble,2021-08-02
DE,Cases,0.65474060822898,mech_ensemble,2021-08-02
DE,Deaths,1,mech_ensemble,2021-08-02
FR,Cases,0,mech_ensemble,2021-08-02
FR,Deaths,0.845360824742268,mech_ensemble,2021-08-02
GB,Cases,0,mech_ensemble,2021-08-02
GB,Deaths,1,mech_ensemble,2021-08-02
PL,Cases,0.939176426142803,mech_ensemble,2021-08-02
PL,Deaths,0.125,mech_ensemble,2021-08-02
CZ,Cases,0.990403412120135,semi_ensemble,2021-08-02
CZ,Deaths,0.269230769230769,semi_ensemble,2021-08-02
DE,Cases,0,semi_ensemble,2021-08-02
DE,Deaths,0,semi_ensemble,2021-08-02
FR,Cases,0.414192435628927,semi_ensemble,2021-08-02
FR,Deaths,0,semi_ensemble,2021-08-02
GB,Cases,0.0859869184134686,semi_ensemble,2021-08-02
GB,Deaths,0,semi_ensemble,2021-08-02
PL,Cases,0,semi_ensemble,2021-08-02
PL,Deaths,0.875,semi_ensemble,2021-08-02
CZ,Cases,0.00959658787986496,stat_ensemble,2021-08-02
CZ,Deaths,0,stat_ensemble,2021-08-02
DE,Cases,0.34525939177102,stat_ensemble,2021-08-02
DE,Deaths,0,stat_ensemble,2021-08-02
FR,Cases,0.585807564371073,stat_ensemble,2021-08-02
FR,Deaths,0.154639175257732,stat_ensemble,2021-08-02
GB,Cases,0.914013081586531,stat_ensemble,2021-08-02
GB,Deaths,0,stat_ensemble,2021-08-02
PL,Cases,0.0608235738571968,stat_ensemble,2021-08-02
PL,Deaths,0,stat_ensemble,2021-08-02
CZ,Cases,0,mech_ensemble,2021-08-09
CZ,Deaths,0.75,mech_ensemble,2021-08-09
DE,Cases,0.575348023852019,mech_ensemble,2021-08-09
DE,Deaths,0.644444444444444,mech_ensemble,2021-08-09
FR,Cases,0.368305320462592,mech_ensemble,2021-08-09
FR,Deaths,0.508373205741627,mech_ensemble,2021-08-09
GB,Cases,0,mech_ensemble,2021-08-09
GB,Deaths,1,mech_ensemble,2021-08-09
PL,Cases,0.959218839747272,mech_ensemble,2021-08-09
