model,target_type,location,forecast_date,weights
HZI-AgeExtendedSEIR,Deaths,DE,2021-04-26,0.0496041709267206
IEM_Health-CovidProject,Deaths,DE,2021-04-26,0.0496041709267206
ILM-EKF,Deaths,DE,2021-04-26,0.0797214689348544
itwm-dSEIR,Deaths,DE,2021-04-26,0.0496041709267206
ITWW-county_repro,Deaths,DE,2021-04-26,0.0797214689348544
Karlen-pypm,Deaths,DE,2021-04-26,0.0496041709267206
LANL-GrowthRate,Deaths,DE,2021-04-26,0.0797214689348544
MIT_CovidAnalytics-DELPHI,Deaths,DE,2021-04-26,0.0496041709267206
RobertWalraven-ESG,Deaths,DE,2021-04-26,0.234676585920097
UMass-MechBayes,Deaths,DE,2021-04-26,0.0496041709267206
UMass-SemiMech,Deaths,DE,2021-04-26,0.0496041709267206
USC-SIkJalpha,Deaths,DE,2021-04-26,0.0496041709267206
DSMPG-bayes,Cases,FR,2021-04-26,0.0921686443781401
epiforecasts-EpiNow2,Cases,FR,2021-04-26,0.106826757386753
IEM_Health-CovidProject,Cases,FR,2021-04-26,0.0921686443781401
ILM-EKF,Cases,FR,2021-04-26,0.106826757386753
LANL-GrowthRate,Cases,FR,2021-04-26,0.106826757386753
UMass-SemiMech,Cases,FR,2021-04-26,0.0921686443781401
UNIPV-BayesINGARCHX,Cases,FR,2021-04-26,0.31084515032718
USC-SIkJalpha,Cases,FR,2021-04-26,0.0921686443781401
epiforecasts-EpiNow2,Deaths,FR,2021-04-26,0.0385261178944742
IEM_Health-CovidProject,Deaths,FR,2021-04-26,0.047649460951708
ILM-EKF,Deaths,FR,2021-04-26,0.0385261178944742
LANL-GrowthRate,Deaths,FR,2021-04-26,0.0385261178944742
RobertWalraven-ESG,Deaths,FR,2021-04-26,0.693823802509745
UMass-MechBayes,Deaths,FR,2021-04-26,0.047649460951708
UMass-SemiMech,Deaths,FR,2021-04-26,0.047649460951708
USC-SIkJalpha,Deaths,FR,2021-04-26,0.047649460951708
epiforecasts-EpiNow2,Cases,GB,2021-04-26,0.159804397226206
IEM_Health-CovidProject,Cases,GB,2021-04-26,0.173528936107128
ILM-EKF,Cases,GB,2021-04-26,0.159804397226206
LANL-GrowthRate,Cases,GB,2021-04-26,0.159804397226206
UMass-SemiMech,Cases,GB,2021-04-26,0.173528936107128
USC-SIkJalpha,Cases,GB,2021-04-26,0.173528936107128
epiforecasts-EpiNow2,Deaths,GB,2021-04-26,0.100317293367403
IEM_Health-CovidProject,Deaths,GB,2021-04-26,0.0547514344691235
ILM-EKF,Deaths,GB,2021-04-26,0.100317293367403
LANL-GrowthRate,Deaths,GB,2021-04-26,0.100317293367403
RobertWalraven-ESG,Deaths,GB,2021-04-26,0.480042382021296
UMass-MechBayes,Deaths,GB,2021-04-26,0.0547514344691235
UMass-SemiMech,Deaths,GB,2021-04-26,0.0547514344691235
USC-SIkJalpha,Deaths,GB,2021-04-26,0.0547514344691235
DSMPG-bayes,Cases,PL,2021-04-26,0.0522116814156251
epiforecasts-EpiNow2,Cases,PL,2021-04-26,0.158629557522656
IEM_Health-CovidProject,Cases,PL,2021-04-26,0.0522116814156251
ILM-EKF,Cases,PL,2021-04-26,0.158629557522656
ITWW-county_repro,Cases,PL,2021-04-26,0.158629557522656
LANL-GrowthRate,Cases,PL,2021-04-26,0.158629557522656
MIMUW-StochSEIR,Cases,PL,2021-04-26,0.0522116814156251
MIT_CovidAnalytics-DELPHI,Cases,PL,2021-04-26,0.0522116814156251
PL_GRedlarski-DistrictsSum,Cases,PL,2021-04-26,0.0522116814156251
UMass-SemiMech,Cases,PL,2021-04-26,0.0522116814156251
USC-SIkJalpha,Cases,PL,2021-04-26,0.0522116814156251
